,year,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,abb,state_name,city_name,city_state
0,1975,286238,30,181,819,1353,2383,832.5239835,10.48078871,63.23409191,286.1255319,472.683571,NM,New Mexico,Albuquerque,"Albuquerque, New Mexico"
1,1975,112478,5,28,113,132,278,247.1594445,4.44531375,24.893757,100.4640908,117.356283,TX,Texas,Arlington,"Arlington, Texas"
2,1975,490584,185,443,3887,3518,8033,1637.436198,37.71015769,90.30053976,792.3209889,717.1045122,GA,Georgia,Atlanta,"Atlanta, Georgia"
3,1975,116656,7,44,171,389,611,523.7621725,6.000548622,37.71773419,146.5848306,333.4590591,CO,Colorado,Aurora,"Aurora, Colorado"
4,1975,300400,33,190,529,463,1215,404.460719,10.98535286,63.24900133,176.0985353,154.1278296,TX,Texas,Austin,"Austin, Texas"
5,1975,864100,259,463,9055,6309,16086,1861.590094,29.97338271,53.58176137,1047.911121,730.1238283,MD,Maryland,Baltimore,"Baltimore, Maryland"
6,1975,642154,25,137,750,347,1259,196.0588893,3.893147127,21.33444625,116.7944138,54.03688212,MD,Maryland,Baltimore County,"Baltimore County, Maryland"
7,1975,616120,119,453,7778,3036,11386,1848.01662,19.31441927,73.52463806,1262.416412,492.7611504,MA,Massachusetts,Boston,"Boston, Massachusetts"
8,1975,422276,63,192,2340,755,3350,793.3200087,14.9191524,45.46789304,554.1399464,178.7930169,NY,New York,Buffalo,"Buffalo, New York"
9,1975,262103,68,71,822,976,1937,739.0224454,25.94399911,27.08858731,313.6171658,372.3726932,NC,North Carolina,Charlotte-Mecklenburg,"Charlotte-Mecklenburg, North Carolina"
10,1975,3150000,818,1657,22171,12514,37160,1179.68254,25.96825397,52.6031746,703.8412698,397.2698413,IL,Illinois,Chicago,"Chicago, Illinois"
11,1975,433367,64,261,1745,1508,3578,825.6281627,14.7680834,60.22609013,402.661024,347.9729652,OH,Ohio,Cincinnati,"Cincinnati, Ohio"
12,1975,659931,288,491,7100,2524,10403,1576.376924,43.6409261,74.40171776,1075.870053,382.4642273,OH,Ohio,Cleveland,"Cleveland, Ohio"
13,1975,572797,62,416,2402,1100,3980,694.8360414,10.82407904,72.6260787,419.3457717,192.0401119,OH,Ohio,Columbus,"Columbus, Ohio"
14,1975,864665,237,547,3386,3485,7655,885.3139655,27.40945915,63.26149434,391.5967456,403.0462665,TX,Texas,Dallas,"Dallas, Texas"
15,1975,508140,74,480,2568,1838,4960,976.1089464,14.56291573,94.4621561,505.3725351,361.7113394,CO,Colorado,Denver,"Denver, Colorado"
16,1975,1432444,633,1424,21317,7013,30387,2121.339473,44.19020918,99.41051797,1488.155907,489.5828388,MI,Michigan,Detroit,"Detroit, Michigan"
17,1975,369000,21,122,840,635,1618,438.4823848,5.691056911,33.06233062,227.6422764,172.0867209,TX,Texas,El Paso,"El Paso, Texas"
18,1975,487905,21,104,433,247,805,164.9911356,4.30411658,21.31562497,88.74678472,50.6246093,VA,Virginia,Fairfax County,"Fairfax County, Virginia"
19,1975,381275,69,169,1207,494,1939,508.5568159,18.09717396,44.3249623,316.5694053,129.5652744,TX,Texas,Fort Worth,"Fort Worth, Texas"
20,1975,176500,25,84,567,465,1141,646.4589235,14.16430595,47.59206799,321.2464589,263.4560907,CA,California,Fresno,"Fresno, California"
21,1975,705262,58,169,1050,319,1596,226.298879,8.223894099,23.96272591,148.8808414,45.23141754,HI,Hawaii,Honolulu,"Honolulu, Hawaii"
22,1975,1372342,347,588,6422,1567,8924,650.2752229,25.28524231,42.84646247,467.959153,114.1843651,TX,Texas,Houston,"Houston, Texas"
23,1975,503411,95,351,3092,1117,4655,924.6917529,18.87126026,69.72434055,614.2098603,221.8862917,IN,Indiana,Indianapolis,"Indianapolis, Indiana"
