,year,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,abb,state_name,city_name,city_state
24,1975,542792,91,316,1727,2445,4579,843.6012321,16.76516972,58.21751242,318.1697593,450.4487907,FL,Florida,Jacksonville,"Jacksonville, Florida"
25,1975,489094,114,302,3081,2575,6072,1241.479143,23.30840288,61.74682167,629.9402569,526.4836616,MO,Missouri,Kansas City,"Kansas City, Missouri"
26,1975,249186,37,169,1345,1043,2594,1040.989462,14.84834622,67.8208246,539.7574503,418.5628406,NV,Nevada,Las Vegas,"Las Vegas, Nevada"
27,1975,340758,54,169,1959,1007,3189,935.8547708,15.8470234,49.59531398,574.8947934,295.5176401,CA,California,Long Beach,"Long Beach, California"
28,1975,2729878,554,1768,14590,13493,30405,1113.786037,20.2939472,64.76479901,534.4561186,494.2711726,CA,California,Los Angeles,"Los Angeles, California"
29,1975,1022888,138,471,3055,6128,9792,957.2895566,13.49121311,46.04609693,298.6641744,599.0880722,CA,California,Los Angeles County,"Los Angeles County, California"
30,1975,646483,120,521,2983,1805,5429,839.7745958,18.56197301,80.5898995,461.4197125,279.2030108,TN,Tennessee,Memphis,"Memphis, Tennessee"
31,1975,113176,2,22,98,145,267,235.9157419,1.767159115,19.43875027,86.59079664,128.1190358,AZ,Arizona,Mesa,"Mesa, Arizona"
32,1975,350742,98,178,2657,3280,6213,1771.387516,27.94076558,50.7495538,757.536879,935.1603173,FL,Florida,Miami,"Miami, Florida"
33,1975,619795,94,174,2426,4008,6702,1081.325277,15.16630499,28.07379859,391.4197436,646.6654297,FL,Florida,Miami-Dade County,"Miami-Dade County, Florida"
34,1975,674369,70,146,1968,1020,3204,475.1108073,10.38007382,21.64986825,291.828361,151.2525042,WI,Wisconsin,Milwaukee,"Milwaukee, Wisconsin"
35,1975,405378,47,307,1838,1134,3326,820.468797,11.5941171,75.73178614,453.4039834,279.7389104,MN,Minnesota,Minneapolis,"Minneapolis, Minnesota"
36,1975,496092,19,84,578,286,967,194.9235222,3.82993477,16.93234319,116.5106472,57.65059707,MD,Maryland,Montgomery County,"Montgomery County, Maryland"
37,1975,449600,93,110,2003,952,3158,702.4021352,20.68505338,24.46619217,445.5071174,211.7437722,TN,Tennessee,Nashville,"Nashville, Tennessee"
38,1975,1100426,18,33,686,256,993,90.23778064,1.635730163,2.998838632,62.33949398,23.26371787,NY,New York,Nassau County,"Nassau County, New York"
39,1975,571934,158,237,3596,2002,5993,1047.848178,27.62556519,41.43834778,628.743876,350.0403893,LA,Louisiana,New Orleans,"New Orleans, Louisiana"
40,1975,7422506,1645,3866,83190,43481,132182,1780.827122,22.16232631,52.08483496,1120.780502,585.7994591,NY,New York,New York City,"New York City, New York"
41,1975,372663,122,297,4273,2444,7136,1914.866783,32.73735251,79.69666965,1146.612355,655.8204061,NJ,New Jersey,Newark,"Newark, New Jersey"
42,1975,337748,111,316,3185,2288,5900,1746.864526,32.86473939,93.56087971,943.0107654,677.4281417,CA,California,Oakland,"Oakland, California"
43,1975,384081,61,249,992,1364,2666,694.1244165,15.88206654,64.83007491,258.2788526,355.1334224,OK,Oklahoma,Oklahoma City,"Oklahoma City, Oklahoma"
44,1975,118457,21,86,304,705,1116,942.1140161,17.72795192,72.60018403,256.6332087,595.1526714,FL,Florida,Orlando,"Orlando, Florida"
45,1975,1883253,435,716,10405,4776,16332,867.222832,23.09833039,38.01932082,552.501443,253.6037378,PA,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania"
46,1975,668046,75,311,1938,2325,4649,695.9101619,11.22677181,46.55368044,290.0997835,348.0299261,AZ,Arizona,Phoenix,"Phoenix, Arizona"
47,1975,479083,63,237,2744,1923,4967,1036.772334,13.15012221,49.46950737,572.7608786,401.3918256,PA,Pennsylvania,Pittsburgh,"Pittsburgh, Pennsylvania"
48,1975,373126,48,287,1843,1898,4076,1092.392382,12.86428713,76.9177168,493.9350246,508.6753536,OR,Oregon,Portland,"Portland, Oregon"
49,1975,569452,46,261,2147,1693,4147,728.243996,8.0779416,45.83353821,377.0291438,297.3033724,MD,Maryland,Prince George's County,"Prince George's County, Maryland"
50,1975,149940,17,20,221,463,721,480.8590103,11.33786848,13.3386688,147.3922902,308.7901827,NC,North Carolina,Raleigh,"Raleigh, North Carolina"
51,1975,262994,42,155,1128,1087,2412,917.1311893,15.96994608,58.93670578,428.9071234,413.3174141,CA,California,Sacramento,"Sacramento, California"
52,1975,180000,11,99,582,378,1070,594.4444444,6.111111111,55,323.3333333,210,UT,Utah,Salt Lake City,"Salt Lake City, Utah"
53,1975,768814,131,275,1730,2086,4222,549.1575336,17.03923186,35.76937985,225.0219169,271.327005,TX,Texas,San Antonio,"San Antonio, Texas"
54,1975,768713,64,229,2199,1367,3859,502.0079015,8.325603964,29.79005168,286.0625487,177.8296972,CA,California,San Diego,"San Diego, California"
55,1975,669977,138,547,5687,2765,9137,1363.77816,20.59772201,81.64459377,848.8351093,412.7007345,CA,California,San Francisco,"San Francisco, California"
56,1975,549367,40,234,887,955,2116,385.170569,7.281107165,42.59447692,161.4585514,173.8364336,CA,California,San Jose,"San Jose, California"
57,1975,503500,52,324,2103,1492,3971,788.6792453,10.32770606,64.34955313,417.6762661,296.32572,WA,Washington,Seattle,"Seattle, Washington"
58,1975,569000,240,462,6288,3573,10563,1856.414763,42.17926186,81.19507909,1105.096661,627.943761,MO,Missouri,St. Louis,"St. Louis, Missouri"
59,1975,1217700,13,90,531,330,964,79.16564014,1.067586433,7.390983001,43.6067997,27.100271,NY,New York,Suffolk County,"Suffolk County, New York"
60,1975,291103,67,162,1394,1545,3168,1088.274597,23.01590846,55.65040553,478.8683043,530.7399786,FL,Florida,Tampa,"Tampa, Florida"
61,1975,340500,23,137,707,943,1810,531.5712188,6.754772394,40.2349486,207.6358297,276.9456681,AZ,Arizona,Tucson,"Tucson, Arizona"
62,1975,347600,39,136,581,1012,1768,508.6306099,11.21979287,39.12543153,167.146145,291.1392405,OK,Oklahoma,Tulsa,"Tulsa, Oklahoma"
63,1975,217192,22,38,194,198,452,208.110796,10.12928653,17.49604037,89.32189031,91.16357877,VA,Virginia,Virginia Beach,"Virginia Beach, Virginia"
64,1975,259240,36,53,640,408,1137,438.5897238,13.88674587,20.44437587,246.8754822,157.3831199,KS,Kansas,Wichita,"Wichita, Kansas"
65,1976,292265,28,186,871,1335,2420,828.0156707,9.580346603,63.64087386,298.0172104,456.7772398,NM,New Mexico,Albuquerque,"Albuquerque, New Mexico"
66,1976,107470,5,30,99,140,274,254.9548711,4.652461152,27.91476691,92.11873081,130.2689123,TX,Texas,Arlington,"Arlington, Texas"
67,1976,457300,154,477,3380,3518,7529,1646.402799,33.6759239,104.3078942,739.1209272,769.2980538,GA,Georgia,Atlanta,"Atlanta, Georgia"
68,1976,132000,2,40,166,338,546,413.6363636,1.515151515,30.3030303,125.7575758,256.0606061,CO,Colorado,Aurora,"Aurora, Colorado"
69,1976,284908,24,181,518,479,1202,421.8905752,8.423771884,63.52927963,181.8130765,168.1244472,TX,Texas,Austin,"Austin, Texas"
70,1976,860974,200,460,7755,5776,14191,1648.249541,23.22950519,53.42786193,900.7240637,670.8681098,MD,Maryland,Baltimore,"Baltimore, Maryland"
71,1976,642369,19,142,688,949,1798,279.9014274,2.957801513,22.10567446,107.1035495,147.7344019,MD,Maryland,Baltimore County,"Baltimore County, Maryland"
72,1976,619437,81,392,6125,3290,9888,1596.288242,13.07639034,63.28327175,988.801121,531.1274593,MA,Massachusetts,Boston,"Boston, Massachusetts"
73,1976,425101,54,202,1937,898,3091,727.1213194,12.70286355,47.51811922,455.6564205,211.2439162,NY,New York,Buffalo,"Buffalo, New York"
74,1976,274020,52,84,731,1028,1895,691.5553609,18.97671703,30.65469674,266.768849,375.1550982,NC,North Carolina,Charlotte-Mecklenburg,"Charlotte-Mecklenburg, North Carolina"
75,1976,3134499,814,1179,17577,11070,30640,977.5086864,25.96906236,37.61366649,560.7594707,353.1664869,IL,Illinois,Chicago,"Chicago, Illinois"
76,1976,427045,56,263,1525,1617,3461,810.4532309,13.11337213,61.58601553,357.1052231,378.6486202,OH,Ohio,Cincinnati,"Cincinnati, Ohio"
77,1976,642298,236,498,5453,2309,8496,1322.750499,36.74306942,77.53410411,848.9828709,359.4904546,OH,Ohio,Cleveland,"Cleveland, Ohio"
78,1976,595500,53,328,1921,985,3287,551.9731318,8.900083963,55.0797649,322.5860621,165.4072208,OH,Ohio,Columbus,"Columbus, Ohio"
79,1976,888450,230,591,3113,3310,7244,815.3525803,25.88778209,66.52034442,350.3855028,372.558951,TX,Texas,Dallas,"Dallas, Texas"
80,1976,523676,86,383,2042,1596,4107,784.2635523,16.42236803,73.13682506,389.9357618,304.7685974,CO,Colorado,Denver,"Denver, Colorado"
81,1976,1334100,663,1230,21213,6593,29699,2226.144967,49.69642456,92.19698673,1590.060715,494.1908403,MI,Michigan,Detroit,"Detroit, Michigan"
82,1976,361413,25,118,792,638,1573,435.2361426,6.917294065,32.64962799,219.139876,176.5293445,TX,Texas,El Paso,"El Paso, Texas"
83,1976,524272,17,84,337,270,708,135.0444044,3.242591632,16.02221747,64.27961058,51.49998474,VA,Virginia,Fairfax County,"Fairfax County, Virginia"
84,1976,364302,70,174,985,503,1732,475.4297259,19.21482726,47.76257061,270.3800693,138.0722587,TX,Texas,Fort Worth,"Fort Worth, Texas"
85,1976,177900,28,55,723,461,1267,712.197864,15.73917931,30.91624508,406.4080944,259.1343451,CA,California,Fresno,"Fresno, California"
86,1976,718424,40,164,1112,380,1696,236.0722916,5.567742726,22.82774518,154.7832478,52.89355589,HI,Hawaii,Honolulu,"Honolulu, Hawaii"
87,1976,1477000,321,690,5531,1503,8045,544.6851726,21.73324306,46.71631686,374.4752877,101.760325,TX,Texas,Houston,"Houston, Texas"
88,1976,494730,68,347,2366,1363,4144,837.6286055,13.74487094,70.13926788,478.2406565,275.5038102,IN,Indiana,Indianapolis,"Indianapolis, Indiana"
89,1976,543839,90,279,1558,2516,4443,816.9697282,16.54901543,51.30194782,286.4818448,462.6369201,FL,Florida,Jacksonville,"Jacksonville, Florida"
90,1976,488012,95,350,2410,2723,5578,1143.00468,19.46673442,71.71954788,493.8403154,557.9780825,MO,Missouri,Kansas City,"Kansas City, Missouri"
91,1976,265347,35,151,1276,1011,2473,931.9871715,13.19027538,56.90661662,480.8797537,381.0105258,NV,Nevada,Las Vegas,"Las Vegas, Nevada"
92,1976,340900,69,200,1703,978,2950,865.3564095,20.24053975,58.66823115,499.5599883,286.8876503,CA,California,Long Beach,"Long Beach, California"
93,1976,2739100,501,2047,14225,15187,31960,1166.806615,18.29067942,74.73257639,519.3311672,554.4521923,CA,California,Los Angeles,"Los Angeles, California"
94,1976,1027865,155,564,2723,6662,10104,983.008469,15.07980134,54.87101905,264.9180583,648.1395903,CA,California,Los Angeles County,"Los Angeles County, California"
95,1976,649819,113,472,2429,1766,4780,735.5894488,17.38945768,72.63561084,373.7963956,271.7679846,TN,Tennessee,Memphis,"Memphis, Tennessee"
96,1976,100763,5,15,89,202,311,308.6450384,4.96213888,14.88641664,88.32607207,200.4704108,AZ,Arizona,Mesa,"Mesa, Arizona"
97,1976,338721,84,145,2313,2630,5172,1526.920386,24.799171,42.8080928,682.8628872,776.4502349,FL,Florida,Miami,"Miami, Florida"
98,1976,649499,70,216,1939,4562,6787,1044.959269,10.77753776,33.25640224,298.5377961,702.3875325,FL,Florida,Miami-Dade County,"Miami-Dade County, Florida"
99,1976,652517,57,168,1621,846,2692,412.5563012,8.735404595,25.74645565,248.4226465,129.6517945,WI,Wisconsin,Milwaukee,"Milwaukee, Wisconsin"
100,1976,397421,27,300,1407,1220,2954,743.2923776,6.793803045,75.4867005,354.0326254,306.9792487,MN,Minnesota,Minneapolis,"Minneapolis, Minnesota"
101,1976,480055,26,85,564,257,932,194.144421,5.416046078,17.70630449,117.486538,53.53553239,MD,Maryland,Montgomery County,"Montgomery County, Maryland"
102,1976,445979,74,129,1722,906,2831,634.7832521,16.59270952,28.92512876,386.1168351,203.1485787,TN,Tennessee,Nashville,"Nashville, Tennessee"
103,1976,1053093,20,23,659,185,887,84.22807862,1.8991675,2.184042625,62.57756912,17.56729937,NY,New York,Nassau County,"Nassau County, New York"
104,1976,557327,170,264,2600,1776,4810,863.0480849,30.50273897,47.36895934,466.5124783,318.6639083,LA,Louisiana,New Orleans,"New Orleans, Louisiana"
105,1976,7530493,1622,3400,86183,42948,134153,1781.46371,21.53909445,45.14976642,1144.453623,570.321226,NY,New York,New York City,"New York City, New York"
106,1976,367886,99,323,3834,2309,6565,1784.520205,26.91051032,87.79893771,1042.170672,627.6400842,NJ,New Jersey,Newark,"Newark, New Jersey"
107,1976,333100,98,309,2894,2213,5514,1655.358751,29.42059442,92.76493545,868.8081657,664.3650555,CA,California,Oakland,"Oakland, California"
108,1976,376522,36,228,770,1326,2360,626.7894041,9.561194299,60.55423056,204.5033225,352.1706567,OK,Oklahoma,Oklahoma City,"Oklahoma City, Oklahoma"
109,1976,116848,17,98,327,676,1118,956.7985759,14.54881556,83.86964261,279.8507463,578.5293715,FL,Florida,Orlando,"Orlando, Florida"
110,1976,1916665,338,764,7786,4225,13113,684.1571167,17.63479794,39.86090423,406.2264402,220.4349743,PA,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania"
111,1976,669005,53,240,1485,2078,3856,576.3783529,7.922212838,35.87417134,221.9714352,310.6105336,AZ,Arizona,Phoenix,"Phoenix, Arizona"
112,1976,487106,62,287,2419,1853,4621,948.6641511,12.72823574,58.91941384,496.6064881,380.4100134,PA,Pennsylvania,Pittsburgh,"Pittsburgh, Pennsylvania"
113,1976,379818,39,322,1913,2030,4304,1133.17431,10.26807576,84.77744604,503.6622804,534.4665076,OR,Oregon,Portland,"Portland, Oregon"
114,1976,578318,37,280,1941,1611,3869,669.0090919,6.397864151,48.41626925,335.628495,278.5664634,MD,Maryland,Prince George's County,"Prince George's County, Maryland"
115,1976,148093,11,29,138,353,531,358.5584734,7.427764986,19.58228951,93.184688,238.3637309,NC,North Carolina,Raleigh,"Raleigh, North Carolina"
116,1976,260700,52,192,1187,1368,2799,1073.647871,19.94629843,73.64787112,455.3126199,524.7410817,CA,California,Sacramento,"Sacramento, California"
117,1976,175400,11,102,482,364,959,546.7502851,6.271379704,58.15279361,274.8004561,207.5256556,UT,Utah,Salt Lake City,"Salt Lake City, Utah"
118,1976,753069,119,263,1262,1641,3285,436.2150082,15.80200486,34.92375865,167.5809255,217.9083192,TX,Texas,San Antonio,"San Antonio, Texas"
119,1976,773400,59,233,2271,1555,4118,532.4540988,7.628652702,30.12671321,293.6384794,201.0602534,CA,California,San Diego,"San Diego, California"
120,1976,665000,130,619,6628,3379,10756,1617.443609,19.54887218,93.08270677,996.6917293,508.1203008,CA,California,San Francisco,"San Francisco, California"
121,1976,557700,37,296,967,1223,2523,452.3937601,6.63439125,53.07513,173.3907119,219.293527,CA,California,San Jose,"San Jose, California"
122,1976,503500,42,322,2163,1601,4128,819.8609732,8.341608739,63.95233366,429.59285,317.9741807,WA,Washington,Seattle,"Seattle, Washington"
123,1976,534206,182,489,5303,3600,9574,1792.192525,34.06925418,91.5377214,992.6882139,673.8973355,MO,Missouri,St. Louis,"St. Louis, Missouri"
124,1976,1177192,34,126,979,671,1810,153.755717,2.888228938,10.70343665,83.16400383,57.00004757,NY,New York,Suffolk County,"Suffolk County, New York"
125,1976,274568,42,162,1025,1706,2935,1068.951954,15.29675709,59.00177734,373.3137146,621.3397046,FL,Florida,Tampa,"Tampa, Florida"
126,1976,340927,24,136,554,750,1464,429.4174413,7.039630185,39.89123771,162.4981301,219.9884433,AZ,Arizona,Tucson,"Tucson, Arizona"
127,1976,349516,27,131,392,1197,1747,499.8340562,7.724968242,37.48040147,112.1550945,342.4735921,OK,Oklahoma,Tulsa,"Tulsa, Oklahoma"
128,1976,216176,12,59,157,253,481,222.5038857,5.551032492,27.29257642,72.62600844,117.0342684,VA,Virginia,Virginia Beach,"Virginia Beach, Virginia"
129,1976,256455,19,111,514,470,1114,434.3842,7.408707181,43.28244721,200.4250258,183.2680197,KS,Kansas,Wichita,"Wichita, Kansas"
130,1977,292341,31,207,754,1398,2390,817.5384226,10.60405485,70.80772112,257.9179793,478.2086673,NM,New Mexico,Albuquerque,"Albuquerque, New Mexico"
131,1977,112994,4,34,85,266,389,344.2660672,3.540010974,30.09009328,75.2252332,235.4107298,TX,Texas,Arlington,"Arlington, Texas"
132,1977,440300,138,510,3354,3593,7595,1724.960254,31.34226664,115.8301158,761.75335,816.0345219,GA,Georgia,Atlanta,"Atlanta, Georgia"
133,1977,137200,3,42,166,374,585,426.3848397,2.186588921,30.6122449,120.9912536,272.5947522,CO,Colorado,Aurora,"Aurora, Colorado"
134,1977,321900,33,187,512,528,1260,391.4259087,10.25163094,58.09257533,159.0556073,164.0260951,TX,Texas,Austin,"Austin, Texas"
135,1977,827494,171,499,7563,6050,14283,1726.054811,20.6648024,60.30255204,913.9643309,731.123126,MD,Maryland,Baltimore,"Baltimore, Maryland"
136,1977,643363,22,162,717,3109,4010,623.2873199,3.419531431,25.18018599,111.445638,483.2419645,MD,Maryland,Baltimore County,"Baltimore County, Maryland"
137,1977,619321,75,408,5655,3284,9422,1521.343536,12.11003664,65.8785993,913.0967624,530.2581375,MA,Massachusetts,Boston,"Boston, Massachusetts"
138,1977,415352,45,236,1822,1842,3945,949.7967989,10.83418402,56.81927618,438.6640729,443.4792658,NY,New York,Buffalo,"Buffalo, New York"
139,1977,262314,47,119,614,1465,2245,855.8445222,17.9174577,45.36547801,234.0706177,558.4909688,NC,North Carolina,Charlotte-Mecklenburg,"Charlotte-Mecklenburg, North Carolina"
140,1977,3086806,823,1227,16512,10311,28873,935.3681443,26.66186343,39.74982555,534.9218577,334.0345976,IL,Illinois,Chicago,"Chicago, Illinois"
141,1977,423671,72,291,1625,1451,3439,811.7147504,16.9943187,68.68537143,383.5523319,342.4827283,OH,Ohio,Cincinnati,"Cincinnati, Ohio"
142,1977,638793,249,508,6466,2198,9421,1474.812654,38.9797634,79.52497914,1012.221486,344.0864255,OH,Ohio,Cleveland,"Cleveland, Ohio"
143,1977,568800,69,331,1752,1086,3238,569.2686357,12.13080169,58.19268636,308.0168776,190.92827,OH,Ohio,Columbus,"Columbus, Ohio"
144,1977,873700,224,637,3637,4401,8899,1018.541834,25.63809088,72.90832093,416.2756095,503.7198123,TX,Texas,Dallas,"Dallas, Texas"
145,1977,520200,73,466,2488,2005,5032,967.3202614,14.03306421,89.58093041,478.2775855,385.4286813,CO,Colorado,Denver,"Denver, Colorado"
146,1977,1316352,479,1277,15832,6482,24070,1828.538263,36.38844321,97.01052606,1202.717814,492.42148,MI,Michigan,Detroit,"Detroit, Michigan"
147,1977,386000,32,107,824,597,1560,404.1450777,8.29015544,27.72020725,213.4715026,154.6632124,TX,Texas,El Paso,"El Paso, Texas"
148,1977,517610,13,89,419,320,841,162.477541,2.51154344,17.19441278,80.94897703,61.82260775,VA,Virginia,Fairfax County,"Fairfax County, Virginia"
149,1977,383028,102,208,1132,1119,2561,668.6195265,26.62990695,54.30412398,295.5397517,292.1457439,TX,Texas,Fort Worth,"Fort Worth, Texas"
150,1977,182629,52,71,958,592,1673,916.064809,28.47302455,38.87662967,524.5607215,324.1544333,CA,California,Fresno,"Fresno, California"
151,1977,721983,46,176,1081,357,1660,229.9223112,6.371341153,24.37730528,149.7265171,49.44714765,HI,Hawaii,Honolulu,"Honolulu, Hawaii"
152,1977,1613303,376,965,6153,1810,9304,576.7050579,23.30622332,59.81517421,381.3914683,112.192192,TX,Texas,Houston,"Houston, Texas"
153,1977,509000,80,346,2139,1220,3785,743.6149312,15.71709234,67.97642436,420.2357564,239.6856582,IN,Indiana,Indianapolis,"Indianapolis, Indiana"
154,1977,528698,77,299,1466,2329,4171,788.9191939,14.56408006,56.55402517,277.2849528,440.5161359,FL,Florida,Jacksonville,"Jacksonville, Florida"
155,1977,492055,97,325,2326,2868,5616,1141.335826,19.71324344,66.04952698,472.7113839,582.861672,MO,Missouri,Kansas City,"Kansas City, Missouri"
156,1977,279791,59,183,1419,1068,2729,975.3709019,21.08716864,65.40596374,507.1642762,381.7134933,NV,Nevada,Las Vegas,"Las Vegas, Nevada"
157,1977,346662,75,226,1996,1094,3391,978.1862448,21.63490662,65.19318529,575.7769816,315.5811713,CA,California,Long Beach,"Long Beach, California"
158,1977,2785393,576,2339,15246,15515,33676,1209.021492,20.67930809,83.97378754,547.355436,557.0129601,CA,California,Los Angeles,"Los Angeles, California"
159,1977,1040180,173,631,2963,6822,10589,1017.996885,16.63173681,60.66257763,284.8545444,655.8480263,CA,California,Los Angeles County,"Los Angeles County, California"
160,1977,667150,105,581,2749,1796,5231,784.0815409,15.73858952,87.08686203,412.0512628,269.2048265,TN,Tennessee,Memphis,"Memphis, Tennessee"
161,1977,116400,4,34,83,264,385,330.7560137,3.436426117,29.20962199,71.30584192,226.8041237,AZ,Arizona,Mesa,"Mesa, Arizona"
162,1977,333713,84,178,2447,2637,5346,1601.97535,25.17132986,53.3392466,733.2648114,790.1999622,FL,Florida,Miami,"Miami, Florida"
163,1977,657954,90,277,2161,4676,7204,1094.909371,13.67876782,42.10020761,328.4424139,710.6879812,FL,Florida,Miami-Dade County,"Miami-Dade County, Florida"
164,1977,640489,54,213,1389,879,2535,395.7913407,8.431058145,33.25584046,216.8655512,137.2388909,WI,Wisconsin,Milwaukee,"Milwaukee, Wisconsin"
165,1977,390294,38,324,1652,1116,3130,801.9595484,9.736250109,83.01434303,423.2706626,285.9382927,MN,Minnesota,Minneapolis,"Minneapolis, Minnesota"
166,1977,491003,14,105,484,313,916,186.5569049,2.851306407,21.38479806,98.5737358,63.74706468,MD,Maryland,Montgomery County,"Montgomery County, Maryland"
167,1977,456589,82,187,1688,1000,2957,647.6283923,17.95925876,40.9558706,369.6979121,219.0153508,TN,Tennessee,Nashville,"Nashville, Tennessee"
168,1977,1044946,19,48,734,257,1058,101.2492512,1.818275777,4.593538805,70.24286422,24.59457235,NY,New York,Nassau County,"Nassau County, New York"
169,1977,587776,173,360,3279,2135,5947,1011.779998,29.43298127,61.2478223,557.8655814,363.2336128,LA,Louisiana,New Orleans,"New Orleans, Louisiana"
170,1977,7481613,1557,3899,74404,42056,121916,1629.541651,20.8110203,52.1144304,994.4914285,562.1247718,NY,New York,New York City,"New York City, New York"
171,1977,351412,92,324,3203,2556,6175,1757.196681,26.1800963,92.19946957,911.4657439,727.351371,NJ,New Jersey,Newark,"Newark, New Jersey"
172,1977,339264,94,366,3037,2267,5764,1698.971892,27.70703641,107.8805886,895.1730806,668.2111866,CA,California,Oakland,"Oakland, California"
173,1977,373570,67,251,775,1602,2695,721.4176727,17.93505903,67.18954948,207.4577723,428.8352919,OK,Oklahoma,Oklahoma City,"Oklahoma City, Oklahoma"
174,1977,118374,15,85,274,769,1143,965.5836586,12.67170156,71.80630882,231.4697484,649.6358998,FL,Florida,Orlando,"Orlando, Florida"
175,1977,1897706,323,771,6999,3954,12047,634.8190921,17.02055007,40.62800033,368.8137151,208.3568266,PA,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania"
176,1977,682200,70,316,1594,2315,4295,629.5807681,10.26092055,46.32072706,233.6558194,339.3433011,AZ,Arizona,Phoenix,"Phoenix, Arizona"
177,1977,482413,52,252,2539,1729,4572,947.7356539,10.77914567,52.23739825,526.3125165,358.4065935,PA,Pennsylvania,Pittsburgh,"Pittsburgh, Pennsylvania"
178,1977,385230,41,337,1703,1892,3973,1031.331932,10.6429925,87.48020663,442.0735664,491.135166,OR,Oregon,Portland,"Portland, Oregon"
179,1977,550201,51,264,1933,1476,3724,676.8435535,9.26933975,47.98246459,351.3261517,268.2655975,MD,Maryland,Prince George's County,"Prince George's County, Maryland"
